"","Eps","n","Sstar","Estimator","value","Measure"
"1",0.05,20,"pi/2","Winsozrized
Mean",0.0917576232497548,"Bias"
"2",0.1,20,"pi/2","Winsozrized
Mean",0.125114609077767,"Bias"
"3",0.15,20,"pi/2","Winsozrized
Mean",0.114884803381876,"Bias"
"4",0.2,20,"pi/2","Winsozrized
Mean",0.128832109308206,"Bias"
"5",0.05,50,"pi/2","Winsozrized
Mean",0.0622837129950779,"Bias"
"6",0.1,50,"pi/2","Winsozrized
Mean",0.114438609332663,"Bias"
"7",0.15,50,"pi/2","Winsozrized
Mean",0.0774349864572666,"Bias"
"8",0.2,50,"pi/2","Winsozrized
Mean",0.0957048987825143,"Bias"
"9",0.05,100,"pi/2","Winsozrized
Mean",0.0585541875835707,"Bias"
"10",0.1,100,"pi/2","Winsozrized
Mean",0.10654777027219,"Bias"
"11",0.15,100,"pi/2","Winsozrized
Mean",0.0528119867301944,"Bias"
"12",0.2,100,"pi/2","Winsozrized
Mean",0.0835091948422041,"Bias"
"13",0.05,20,"pi","Winsozrized
Mean",0.0939551482087544,"Bias"
"14",0.1,20,"pi","Winsozrized
Mean",0.10182648891676,"Bias"
"15",0.15,20,"pi","Winsozrized
Mean",0.102846943052668,"Bias"
"16",0.2,20,"pi","Winsozrized
Mean",0.125696298972585,"Bias"
"17",0.05,50,"pi","Winsozrized
Mean",0.0596333839815513,"Bias"
"18",0.1,50,"pi","Winsozrized
Mean",0.0690161518515326,"Bias"
"19",0.15,50,"pi","Winsozrized
Mean",0.0596500712385546,"Bias"
"20",0.2,50,"pi","Winsozrized
Mean",0.0848570324204993,"Bias"
"21",0.05,100,"pi","Winsozrized
Mean",0.0414691272099771,"Bias"
"22",0.1,100,"pi","Winsozrized
Mean",0.0500976604205493,"Bias"
"23",0.15,100,"pi","Winsozrized
Mean",0.0434027813460848,"Bias"
"24",0.2,100,"pi","Winsozrized
Mean",0.0608072094898248,"Bias"
"25",0.05,20,"pi/2","Trimmed
Mean",0.0824761699097386,"Bias"
"26",0.1,20,"pi/2","Trimmed
Mean",0.0824416800624648,"Bias"
"27",0.15,20,"pi/2","Trimmed
Mean",0.102447586669508,"Bias"
"28",0.2,20,"pi/2","Trimmed
Mean",0.146962520312245,"Bias"
"29",0.05,50,"pi/2","Trimmed
Mean",0.0540860723082976,"Bias"
"30",0.1,50,"pi/2","Trimmed
Mean",0.0535009993334505,"Bias"
"31",0.15,50,"pi/2","Trimmed
Mean",0.0687313984824628,"Bias"
"32",0.2,50,"pi/2","Trimmed
Mean",0.131962761531276,"Bias"
"33",0.05,100,"pi/2","Trimmed
Mean",0.0374394130878883,"Bias"
"34",0.1,100,"pi/2","Trimmed
Mean",0.0373007528407618,"Bias"
"35",0.15,100,"pi/2","Trimmed
Mean",0.0680077539961531,"Bias"
"36",0.2,100,"pi/2","Trimmed
Mean",0.128501350195459,"Bias"
"37",0.05,20,"pi","Trimmed
Mean",0.0850440401591276,"Bias"
"38",0.1,20,"pi","Trimmed
Mean",0.0832327817848808,"Bias"
"39",0.15,20,"pi","Trimmed
Mean",0.0919239116548071,"Bias"
"40",0.2,20,"pi","Trimmed
Mean",0.101203572283699,"Bias"
"41",0.05,50,"pi","Trimmed
Mean",0.0531796829310744,"Bias"
"42",0.1,50,"pi","Trimmed
Mean",0.0530153566493555,"Bias"
"43",0.15,50,"pi","Trimmed
Mean",0.0569946839876005,"Bias"
"44",0.2,50,"pi","Trimmed
Mean",0.0616713477650266,"Bias"
"45",0.05,100,"pi","Trimmed
Mean",0.0366611193812696,"Bias"
"46",0.1,100,"pi","Trimmed
Mean",0.0374694202654479,"Bias"
"47",0.15,100,"pi","Trimmed
Mean",0.040315647785518,"Bias"
"48",0.2,100,"pi","Trimmed
Mean",0.0442825556000897,"Bias"
"49",0.05,20,"pi/2","Median",0.0897673586693151,"Bias"
"50",0.1,20,"pi/2","Median",0.0944466298799979,"Bias"
"51",0.15,20,"pi/2","Median",0.105279236149054,"Bias"
"52",0.2,20,"pi/2","Median",0.119596501294272,"Bias"
"53",0.05,50,"pi/2","Median",0.0581208666823141,"Bias"
