"","Eps","n","Sstar","Estimator","value","Measure"
"1",0.05,20,"pi/2","Winsozrized
Mean",0.10580841647138,"Bias"
"2",0.1,20,"pi/2","Winsozrized
Mean",0.164891611431973,"Bias"
"3",0.15,20,"pi/2","Winsozrized
Mean",0.208915541935369,"Bias"
"4",0.2,20,"pi/2","Winsozrized
Mean",0.200124860696834,"Bias"
"5",0.05,50,"pi/2","Winsozrized
Mean",0.07549881611872,"Bias"
"6",0.1,50,"pi/2","Winsozrized
Mean",0.179110634007144,"Bias"
"7",0.15,50,"pi/2","Winsozrized
Mean",0.202111244637954,"Bias"
"8",0.2,50,"pi/2","Winsozrized
Mean",0.164709694839593,"Bias"
"9",0.05,100,"pi/2","Winsozrized
Mean",0.0762311477867217,"Bias"
"10",0.1,100,"pi/2","Winsozrized
Mean",0.191038155864429,"Bias"
"11",0.15,100,"pi/2","Winsozrized
Mean",0.17403047266498,"Bias"
"12",0.2,100,"pi/2","Winsozrized
Mean",0.138764474074485,"Bias"
"13",0.05,20,"pi","Winsozrized
Mean",0.0975075775943242,"Bias"
"14",0.1,20,"pi","Winsozrized
Mean",0.117853040962372,"Bias"
"15",0.15,20,"pi","Winsozrized
Mean",0.200684779897422,"Bias"
"16",0.2,20,"pi","Winsozrized
Mean",0.225680063275044,"Bias"
"17",0.05,50,"pi","Winsozrized
Mean",0.063905670504727,"Bias"
"18",0.1,50,"pi","Winsozrized
Mean",0.0894460388579363,"Bias"
"19",0.15,50,"pi","Winsozrized
Mean",0.1109285921418,"Bias"
"20",0.2,50,"pi","Winsozrized
Mean",0.133854207787935,"Bias"
"21",0.05,100,"pi","Winsozrized
Mean",0.0482575782043812,"Bias"
"22",0.1,100,"pi","Winsozrized
Mean",0.0723449992531135,"Bias"
"23",0.15,100,"pi","Winsozrized
Mean",0.0770023331246195,"Bias"
"24",0.2,100,"pi","Winsozrized
Mean",0.093837193035045,"Bias"
"25",0.05,20,"pi/2","Trimmed
Mean",0.0834200530367551,"Bias"
"26",0.1,20,"pi/2","Trimmed
Mean",0.0816224306676374,"Bias"
"27",0.15,20,"pi/2","Trimmed
Mean",0.116473558276009,"Bias"
"28",0.2,20,"pi/2","Trimmed
Mean",0.188319315627982,"Bias"
"29",0.05,50,"pi/2","Trimmed
Mean",0.0533427866761524,"Bias"
"30",0.1,50,"pi/2","Trimmed
Mean",0.0545161009578348,"Bias"
"31",0.15,50,"pi/2","Trimmed
Mean",0.0858191954449265,"Bias"
"32",0.2,50,"pi/2","Trimmed
Mean",0.180579665693728,"Bias"
"33",0.05,100,"pi/2","Trimmed
Mean",0.0374701897210404,"Bias"
"34",0.1,100,"pi/2","Trimmed
Mean",0.0376831444890071,"Bias"
"35",0.15,100,"pi/2","Trimmed
Mean",0.0952397687798848,"Bias"
"36",0.2,100,"pi/2","Trimmed
Mean",0.180006307217688,"Bias"
"37",0.05,20,"pi","Trimmed
Mean",0.0821506045052788,"Bias"
"38",0.1,20,"pi","Trimmed
Mean",0.084103020272048,"Bias"
"39",0.15,20,"pi","Trimmed
Mean",0.179323134029478,"Bias"
"40",0.2,20,"pi","Trimmed
Mean",0.238818518445099,"Bias"
"41",0.05,50,"pi","Trimmed
Mean",0.0530627778652284,"Bias"
"42",0.1,50,"pi","Trimmed
Mean",0.0527477316861231,"Bias"
"43",0.15,50,"pi","Trimmed
Mean",0.103409079821637,"Bias"
"44",0.2,50,"pi","Trimmed
Mean",0.190757826577648,"Bias"
"45",0.05,100,"pi","Trimmed
Mean",0.0372746195154433,"Bias"
"46",0.1,100,"pi","Trimmed
Mean",0.037756867845509,"Bias"
"47",0.15,100,"pi","Trimmed
Mean",0.085462639037699,"Bias"
"48",0.2,100,"pi","Trimmed
Mean",0.154794702272505,"Bias"
"49",0.05,20,"pi/2","Median",0.0896482319154779,"Bias"
"50",0.1,20,"pi/2","Median",0.0992255606232621,"Bias"
"51",0.15,20,"pi/2","Median",0.114196285179843,"Bias"
"52",0.2,20,"pi/2","Median",0.134499027495585,"Bias"
"53",0.05,50,"pi/2","Median",0.0583711985941229,"Bias"
"54",0.1,50,"pi/2","Median",0.0720605318574325,"Bias"
"55",0.15,50,"pi/2","Median",0.0852106389593233,"Bias"
"56",0.2,50,"pi/2","Median",0.11238105580127,"Bias"
"57",0.05,100,"pi/2","Median",0.0448028923190806,"Bias"
"58",0.1,100,"pi/2","Median",0.0596581230103211,"Bias"
"59",0.15,100,"pi/2","Median",0.0796613233337571,"Bias"
"60",0.2,100,"pi/2","Median",0.107158417886357,"Bias"
"61",0.05,20,"pi","Median",0.089992035756976,"Bias"
"62",0.1,20,"pi","Median",0.10083120225239,"Bias"
"63",0.15,20,"pi","Median",0.104743703067828,"Bias"
"64",0.2,20,"pi","Median",0.117458795399834,"Bias"
"65",0.05,50,"pi","Median",0.0582478276255098,"Bias"
"66",0.1,50,"pi","Median",0.0626216835053768,"Bias"
"67",0.15,50,"pi","Median",0.0689419964780877,"Bias"
"68",0.2,50,"pi","Median",0.0782849612141974,"Bias"
